date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2004-05-01,SAU,SAR,Saudi Arabia,2.4,3.7502,0.639965868487014,38352.3280833333,2.88934264578924,-0.74179,-0.83175,-0.82891,-0.72292,-0.64457
2004-05-01,SGP,SGD,Singapore,3.3,1.71,1.92982456140351,29699.2350909091,2.67994976036092,-0.16052,-0.45298,-0.44378,-0.09919,0.15553
2004-05-01,ZAF,ZAR,South Africa,12.4,6.66,1.86186186186186,5847.01786290323,2.1027590848871,0.03224,-0.32738,-0.31606,0.10764,0.42085
2004-05-01,KOR,KRW,South Korea,3200,1177,2.71877655055225,12713.3077382188,2.26891380556771,0.39694,-0.08974,-0.07442,0.49898,0.92286
2004-05-01,SWE,SEK,Sweden,30,7.61,3.94218134034166,23927.384,2.54027894493733,0.80916,0.17887,0.19871,0.94131,1.49027
2004-05-01,CHE,CHF,Switzerland,6.3,1.29,4.88372093023256,26067.4625714286,2.59206588719105,1.19647,0.43125,0.45533,1.35692,2.0234
2004-05-01,TWN,TWD,Taiwan,75,33.4,2.24550898203593,15546.1487133333,2.3374646400795,0.11993,-0.27024,-0.25796,0.20174,0.54156
2004-05-01,THA,THB,Thailand,59,40.8,1.44607843137255,3769.99197966102,2.05249793050194,-0.17865,-0.4648,-0.45579,-0.11865,0.13058
2004-05-01,TUR,TRY,Turkey,3950000,1531000,2.58001306335728,0.00341004448101266,1.96126942003581,0.53358,-7e-04,0.01611,0.6456,1.11094
2004-05-01,USA,USD,United States,2.47,1,2.47,37945.76,2.87950426035102,0,-0.34839,-0.33742,0.07305,0.37648
2005-06-01,ARG,ARS,Argentina,4.75,2.897,1.6396272005523,6028.16728421053,2.26850251477481,-0.05505,-0.43433,-0.3638,0.0709,0.22791
2005-06-01,AUS,AUD,Australia,3.25,1.3015,2.49711870918171,33233.4563076923,3.16879774413283,0.03026,-0.38326,-0.30637,0.16758,0.33877
2005-06-01,BRA,BRL,Brazil,5.9,2.4648,2.39370334307043,4259.55376271186,2.2099743986203,0.41607,-0.1523,-0.04661,0.60482,0.84012
2005-06-01,GBR,GBP,Britain,1.88,0.546448087,3.44040000271792,28987.0822340425,3.02827395417137,0.48531,-0.11086,0,0.68328,0.93008
2005-06-01,CAN,CAD,Canada,3.28,1.2494,2.62526012485993,31229.7909146341,3.10249113761073,0.10628,-0.33775,-0.25519,0.25373,0.43755
2005-06-01,CHL,CLP,Chile,1500,592.45,2.53185922862689,5737.7534696,2.25889195075515,0.46537,-0.12279,-0.01342,0.66068,0.90417
2005-06-01,CHN,CNY,China,10.5,8.2764,1.26866753661012,2607.72885714286,2.15531112777856,-0.23044,-0.53932,-0.48189,-0.12787,0
2005-06-01,COL,COP,Colombia,6500,2327.7,2.79245607251794,2642.43519821539,2.15645965273152,0.69296,0.01345,0.13981,0.91861,1.19992
2005-06-01,CZE,CZK,Czech Republic,56.42,24.5409,2.29901918837532,12667.1808365828,2.48820509627229,0.20798,-0.27687,-0.18672,0.36898,0.56971
