name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
United States,USA,USD,3,1,46216.853,46216.853,2007-06-01
Venezuela,VEN,VEF,7400,2147.3,6646.803,,2007-06-01
South Africa,ZAF,ZAR,15.5,6.971,6250.883,42300.769,2007-06-01
UAE,ARE,AED,10,3.67285,46090.439,169267.138,2008-06-01
Argentina,ARG,ARS,11,3.0195,7315.726,22791.226,2008-06-01
Australia,AUS,AUD,3.45,1.026,45207.836,53911.233,2008-06-01
Brazil,BRA,BRL,7.5,1.5846,7374.237,14358.069,2008-06-01
Canada,CAN,CAD,4.09,1.00355,44717.074,48028.178,2008-06-01
Switzerland,CHE,CHF,6.5,1.02215,65395.709,78498.775,2008-06-01
Chile,CHL,CLP,1550,494.65,10447.116,5458278.527,2008-06-01
China,CHN,CNY,12.5,6.834,2733.851,20798,2008-06-01
Colombia,COL,COP,7000,1798.65,4834.416,10045001.445,2008-06-01
Costa Rica,CRI,CRC,1800,551.02,6194.045,3199955.05,2008-06-01
Czech Republic,CZE,CZK,66.08,14.49795,18513.803,376101.167,2008-06-01
